/nethome/mct30/bmds/SAM_out/BTIRed_Bac_Myzus-only.map		
Percentage	Number of reads	Filename
0.002%	281	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0003%	35	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0009%	126	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.001%	142	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	19	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	28	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	24	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	17	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	13	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	34	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0011%	151	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	21	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	23	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	10	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	8	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	11	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	9	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	21	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	10	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	6	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0011%	154	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0039%	537	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.002%	275	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0014%	198	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0008%	117	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0003%	46	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0008%	107	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0005%	63	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0003%	35	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0014%	189	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0005%	72	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0006%	90	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	10	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
